----------- Test Dataset #1 -----------

--- As Tested At ---


,  


Date/Time Tested: 2021-03-15 13:43:19

--- Customer ---
Name     : UCR CE-CER Test  Vehicle
Address  : 
           ,  
Phone    : 

--- Vehicle ---
VIN           : 3AKJGBDV7FSGD9027
License Plate :   9E43660
Yr/Make/Model : 2014 / Freightliner / 


--- Test Data ---

Filter Mode : FIR
Filter Level: 60

        Time,       Time,   Distance,      Speed,   Fr Speed,   Rr Speed, Accelerati, Fr Acceler, Rr Acceler,   Dyno Cmd, Dyno Targe, Dyno Feedb, Dyno Outpu, Brake Feed, Brake Outp,  Brake Pos, FWD Wheelb, PAU Torque, Para Torqu, Accel Torq, Static Tor, Total Torq,  PAU Force, Para Force, Accel Forc, Static For, Total Forc,  PAU Power, Para Power, Accel Powe, Static Pow, Total Powe, WS Tempera, WS Pressur, WS Rel Hum, Primary Ab, Secondary 
     Seconds,    Seconds,      Miles,        MPH,        MPH,        MPH,    MPH/Sec,    MPH/Sec,    MPH/Sec,        ???,        ???,        ???,      Volts,        ???,      Volts,          %,     Inches,     Ft-Lbs,     Ft-Lbs,     Ft-Lbs,     Ft-Lbs,     Ft-Lbs,        Lbs,        Lbs,        Lbs,        Lbs,        Lbs,         HP,         HP,         HP,         HP,         HP,      Deg F,       InHg,          %,     Ft Lbs,     Ft Lbs
       Run #,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1
       0.056,      0.056,      0.000,        0.0,          0,          0,        0.0,        0.0,        0.0,      734.5,      734.5,      306.8,        0.0,        0.0,        0.0,        0.0,        0.0,        107,        200,          0,        307,        307,         53,        100,          0,        153,        153,          0,          0,          0,          0,          0,         52,       20.0,         77,      -29.4,        7.0
       1.056,      1.056,      0.000,        0.0,          0,          0,        0.0,        0.0,        0.0,      741.2,      741.2,      328.4,        0.2,        0.0,        0.0,        0.0,        0.0,        128,        200,          0,        328,        328,         64,        100,          0,        164,        164,          0,          0,          0,          0,          0,         52,       20.0,         77,      -24.7,       23.7
       2.056,      2.056,      0.000,        0.0,          0,          0,        0.0,        0.0,        0.0,      923.3,      923.3,      923.5,        0.3,        0.0,        0.0,        0.0,        0.0,        723,        200,          0,        923,        923,        362,        100,          0,        462,        462,          0,          0,          0,          0,          0,         52,       20.0,         77,      219.5,      361.1
       3.056,      3.056,      0.000,        0.1,          0,          0,        0.0,        0.0,        0.0,     1207.3,     1207.3,     1851.1,        0.2,        0.0,        0.0,        0.0,        0.0,       1651,        200,          0,       1851,       1851,        825,        100,          0,        926,        926,          0,          0,          0,          0,          0,         52,       20.0,         78,      649.0,      836.5
       4.056,      4.056,      0.000,        0.8,          0,          0,        0.3,        0.0,        0.0,     1529.3,     1529.3,     1470.0,       -0.1,        0.0,        0.0,        0.0,        0.0,       1270,        200,       1432,       1470,       2902,        635,        100,        345,        735,       1451,          1,          0,          2,          1,          4,         52,       20.0,         78,      366.1,      748.4
       5.056,      5.056,      0.001,        2.5,          0,          0,        1.7,        0.0,        0.0,     3119.4,     3119.4,     1243.6,        0.5,        0.0,        0.0,        0.0,        0.0,       1043,        200,       6847,       1244,       8091,        522,        100,       2969,        622,       4045,          4,          1,         24,          4,         28,         52,       20.0,         78,      410.8,      481.8
       6.056,      6.056,      0.002,        4.3,          0,          0,        1.6,        0.0,        0.0,     3399.4,     3399.4,     2484.0,        1.3,        0.0,        0.0,        0.0,        0.0,       2284,        200,       6510,       2484,       8994,       1142,        100,       3629,       1242,       4497,         13,          1,         37,         14,         52,         52,       20.0,         78,     1031.3,     1070.9
       7.056,      7.056,      0.003,        4.7,          0,          0,        0.4,        0.0,        0.0,     1895.7,     1895.7,     2418.7,        1.1,        0.0,        0.0,        0.0,        0.0,       2218,        200,       1660,       2419,       4079,       1109,        100,        783,       1209,       2039,         14,          1,         11,         15,         26,         52,       20.0,         78,      993.2,     1045.3
