----------- Test Dataset #1 -----------

--- As Tested At ---


,  


Date/Time Tested: 2021-03-15 16:21:44

--- Customer ---
Name     : UCR CE-CER Test  Vehicle
Address  : 
           ,  
Phone    : 

--- Vehicle ---
VIN           : 3AKJGBDV7FSGD9027
License Plate : 9E43660
Yr/Make/Model : 2014 / Freightliner / 


--- Test Data ---

Filter Mode : FIR
Filter Level: 60

        Time,       Time,   Distance,      Speed,   Fr Speed,   Rr Speed, Accelerati, Fr Acceler, Rr Acceler,   Dyno Cmd, Dyno Targe, Dyno Feedb, Dyno Outpu, Brake Feed, Brake Outp,  Brake Pos, FWD Wheelb, PAU Torque, Para Torqu, Accel Torq, Static Tor, Total Torq,  PAU Force, Para Force, Accel Forc, Static For, Total Forc,  PAU Power, Para Power, Accel Powe, Static Pow, Total Powe, WS Tempera, WS Pressur, WS Rel Hum, Primary Ab, Secondary 
     Seconds,    Seconds,      Miles,        MPH,        MPH,        MPH,    MPH/Sec,    MPH/Sec,    MPH/Sec,        ???,        ???,        ???,      Volts,        ???,      Volts,          %,     Inches,     Ft-Lbs,     Ft-Lbs,     Ft-Lbs,     Ft-Lbs,     Ft-Lbs,        Lbs,        Lbs,        Lbs,        Lbs,        Lbs,         HP,         HP,         HP,         HP,         HP,      Deg F,       InHg,          %,     Ft Lbs,     Ft Lbs
       Run #,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1
       0.060,      0.060,      0.000,        0.0,          0,          0,        0.0,        0.0,        0.0,      750.4,      750.4,      358.7,        0.0,        0.0,        0.0,        0.0,        0.0,        158,        200,          0,        359,        359,         79,        100,          0,        179,        179,          0,          0,          0,          0,          0,         49,       20.0,         64,      -13.8,       42.8
       1.060,      1.060,      0.000,        0.0,          0,          0,        0.0,        0.0,        0.0,      760.1,      760.1,      390.4,        0.2,        0.0,        0.0,        0.0,        0.0,        190,        200,          0,        390,        390,         95,        100,          0,        195,        195,          0,          0,          0,          0,          0,         49,       20.0,         64,       15.2,       44.5
       2.060,      2.060,      0.000,        0.0,          0,          0,        0.0,        0.0,        0.0,      966.6,      966.6,     1064.8,        0.2,        0.0,        0.0,        0.0,        0.0,        865,        200,          0,       1065,       1065,        432,        100,          0,        532,        532,          0,          0,          0,          0,          0,         49,       20.0,         64,      340.1,      378.0
       3.060,      3.060,      0.000,        0.0,          0,          0,        0.0,        0.0,        0.0,      789.6,      789.6,      960.4,        0.1,        0.0,        0.0,        0.0,        0.0,        760,        200,          0,        960,        960,        380,        100,          0,        480,        480,          0,          0,          0,          0,          0,         49,       20.0,         64,      284.5,      331.7
       4.060,      4.060,      0.000,        0.0,          0,          0,        0.0,        0.0,        0.0,      717.3,      717.3,     1014.8,        0.1,        0.0,        0.0,        0.0,        0.0,        815,        200,          0,       1015,       1015,        407,        100,          0,        507,        507,          0,          0,          0,          0,          0,         49,       20.0,         64,      258.2,      411.5
       5.060,      5.060,      0.000,        0.0,          0,          0,        0.0,        0.0,        0.0,      656.0,      656.0,      814.6,        0.0,        0.0,        0.0,        0.0,        0.0,        614,        200,          0,        815,        815,        307,        100,          0,        407,        407,          0,          0,          0,          0,          0,         49,       20.0,         64,      148.1,      326.5
       6.060,      6.060,      0.000,        0.0,          0,          0,        0.0,        0.0,        0.0,      573.8,      573.8,      546.1,        0.0,        0.0,        0.0,        0.0,        0.0,        346,        200,          0,        546,        546,        173,        100,          0,        273,        273,          0,          0,          0,          0,          0,         49,       20.0,         64,       -9.0,      219.5
       7.060,      7.060,      0.000,        0.0,          0,          0,        0.0,        0.0,        0.0,      575.0,      575.0,      412.4,        0.2,        0.0,        0.0,        0.0,        0.0,        212,        200,          0,        412,        412,        106,        100,          0,        206,        206,          0,          0,          0,          0,          0,         49,       20.0,         64,     -120.3,      199.1
